Date,Signal,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
16-05-16,2,17531.76,17755.8,17531.76,17710.71,88440000,1116.21,10332.47,4775.46,2066.66,6151.4,1274.16,16466.4,6.522,0.8836,0.6969,108.661
17-05-16,2,17701.46,17701.46,17469.92,17529.98,103260000,1097.68,10257.61,4715.73,2047.21,6167.8,1278.95,16652.8,6.5213,0.8837,0.6922,109.08
18-05-16,2,17501.28,17636.22,17418.21,17526.62,79120000,1102.95,10239.65,4739.12,2047.63,6165.8,1258.5,16644.69,6.5186,0.8837,0.6918,108.95
19-05-16,1,17514.16,17514.16,17331.07,17435.4,95530000,1094.78,10192.48,4712.53,2040.04,6053.4,1254.75,16646.66,6.5288,0.891,0.6851,110.14
20-05-16,2,17437.32,17571.75,17437.32,17500.94,111990000,1112.28,10250.49,4769.56,2052.32,6156.3,1251.98,16736.35,6.537,0.8924,0.6849,109.881
23-05-16,1,17507.04,17550.7,17480.05,17492.93,87790000,1111.37,10226.56,4765.78,2048.04,6136.4,1249.13,16654.6,6.5367,0.8911,0.6901,110.05
24-05-16,1,17525.19,17742.59,17525.19,17706.05,86480000,1135.31,10353.56,4861.06,2076.06,6219.3,1227.21,16498.76,6.5457,0.8916,0.6905,109.374
25-05-16,2,17735.09,17891.71,17735.09,17851.51,79180000,1141.02,10446.58,4894.89,2090.54,6262.9,1224.41,16757.35,6.5472,0.8978,0.6843,110.17
26-05-16,1,17859.52,17888.66,17803.82,17828.29,68940000,1139.75,10439.61,4901.77,2090.1,6265.7,1219.8,16772.46,6.5441,0.8961,0.6804,110.111
27-05-16,2,17826.85,17873.22,17824.73,17873.22,73190000,1150.45,10469.52,4933.5,2099.06,6270.8,1212.38,16834.84,6.547,0.8935,0.6819,109.713
31-05-16,1,17891.5,17899.24,17724.03,17787.2,147390000,1154.79,10441,4948.05,2096.95,6230.8,1215.32,17234.98,6.5733,0.897,0.6833,110.841
01-06-16,1,17754.55,17809.18,17664.79,17789.67,78530000,1163.04,10454.93,4952.25,2099.33,6191.9,1212.98,16955.73,6.5729,0.898,0.6905,110.67
02-06-16,2,17789.05,17838.56,17703.55,17838.56,75560000,1170.58,10487.58,4971.36,2105.26,6185.6,1211,16562.55,6.5651,0.8937,0.6935,109.477
03-06-16,1,17799.8,17833.17,17689.68,17807.06,82270000,1164.13,10487.94,4942.52,2099.13,6209.6,1244.2,16642.23,6.5745,0.8967,0.6942,108.86
06-06-16,1,17825.69,17949.68,17822.81,17920.33,71870000,1176.87,10554.82,4968.71,2109.41,6273.4,1245.34,16580.03,6.5548,0.881,0.6952,106.721
07-06-16,1,17936.22,18003.23,17936.22,17938.28,78750000,1179.97,10599.22,4961.75,2112.13,6284.5,1243.81,16675.45,6.5538,0.88,0.6916,107.438
08-06-16,2,17931.91,18016,17931.91,18005.05,71260000,1188.95,10638.36,4974.64,2119.12,6301.5,1262.8,16830.92,6.5615,0.8805,0.6876,107.254
